Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#1[5],Subject#1[6],Subject#1[7],Subject#1[8],Subject#1[9],Subject#1[10],Subject#1[11],Subject#1[12],Subject#1[13],Subject#1[14],Subject#1[15],Subject#1[16],Subject#1[17],Subject#1[18],Subject#1[19],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#2[5],Subject#2[6],Subject#2[7],Subject#2[8],Subject#2[9],Subject#2[10],Subject#2[11],Subject#2[12],Subject#2[13],Subject#2[14],Subject#2[15],Subject#2[16],Subject#2[17],Subject#2[18],Subject#2[19],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#3[5],Subject#3[6],Subject#3[7],Subject#3[8],Subject#3[9],Subject#3[10],Subject#3[11],Subject#3[12],Subject#3[13],Subject#3[14],Subject#3[15],Subject#3[16],Subject#3[17],Subject#3[18],Subject#3[19],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#4[5],Subject#4[6],Subject#4[7],Subject#4[8],Subject#4[9],Subject#4[10],Subject#4[11],Subject#4[12],Subject#4[13],Subject#4[14],Subject#4[15],Subject#4[16],Subject#4[17],Subject#4[18],Subject#4[19],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#5[5],Subject#5[6],Subject#5[7],Subject#5[8],Subject#5[9],Subject#5[10],Subject#5[11],Subject#5[12],Subject#5[13],Subject#5[14],Subject#5[15],Subject#5[16],Subject#5[17],Subject#5[18],Subject#5[19],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#6[5],Subject#6[6],Subject#6[7],Subject#6[8],Subject#6[9],Subject#6[10],Subject#6[11],Subject#6[12],Subject#6[13],Subject#6[14],Subject#6[15],Subject#6[16],Subject#6[17],Subject#6[18],Subject#6[19],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#7[5],Subject#7[6],Subject#7[7],Subject#7[8],Subject#7[9],Subject#7[10],Subject#7[11],Subject#7[12],Subject#7[13],Subject#7[14],Subject#7[15],Subject#7[16],Subject#7[17],Subject#7[18],Subject#7[19],Subject#8[1],Subject#8[2],Subject#8[3],Subject#8[4],Subject#8[5],Subject#8[6],Subject#8[7],Subject#8[8],Subject#8[9],Subject#8[10],Subject#8[11],Subject#8[12],Subject#8[13],Subject#8[14],Subject#8[15],Subject#8[16],Subject#8[17],Subject#8[18],Subject#8[19],Subject#9[1],Subject#9[2],Subject#9[3],Subject#9[4],Subject#9[5],Subject#9[6],Subject#9[7],Subject#9[8],Subject#9[9],Subject#9[10],Subject#9[11],Subject#9[12],Subject#9[13],Subject#9[14],Subject#9[15],Subject#9[16],Subject#9[17],Subject#9[18],Subject#9[19],Subject#10[1],Subject#10[2],Subject#10[3],Subject#10[4],Subject#10[5],Subject#10[6],Subject#10[7],Subject#10[8],Subject#10[9],Subject#10[10],Subject#10[11],Subject#10[12],Subject#10[13],Subject#10[14],Subject#10[15],Subject#10[16],Subject#10[17],Subject#10[18],Subject#10[19],Subject#11[1],Subject#11[2],Subject#11[3],Subject#11[4],Subject#11[5],Subject#11[6],Subject#11[7],Subject#11[8],Subject#11[9],Subject#11[10],Subject#11[11],Subject#11[12],Subject#11[13],Subject#11[14],Subject#11[15],Subject#11[16],Subject#11[17],Subject#11[18],Subject#11[19],Subject#12[1],Subject#12[2],Subject#12[3],Subject#12[4],Subject#12[5],Subject#12[6],Subject#12[7],Subject#12[8],Subject#12[9],Subject#12[10],Subject#12[11],Subject#12[12],Subject#12[13],Subject#12[14],Subject#12[15],Subject#12[16],Subject#12[17],Subject#12[18],Subject#12[19]
1,2948,294,1,0.173004,0.095034,0.128479,0.155251,0.211202,0.121221,0.089981,-0.026187,0.007258,0.034031,0.051783,0.031373,0.038197,0.116168,0.082723,0.05595,-0.07797,-0.044526,-0.017753,-0.085669,0.111171,-0.001716,0.241032,-0.013526,-0.161501,0.147975,0.272672,0.159786,0.402533,0.075832,0.21176,0.072143,-0.124697,-0.011811,-0.254558,0.19684,0.083953,0.326701,-0.172299,0.365214,0.145947,-0.061127,0.181745,0.044361,0.137384,0.320853,0.101586,-0.105489,-0.21666,0.047535,0.354044,-0.183469,0.035798,0.242872,0.537514,0.318246,0.111172,0.096402,0.050351,-0.17613,0.049294,-0.07454,-0.045509,-0.02903,0.095861,-0.130621,0.094803,0.141911,0.034585,-0.170942,-0.124891,0.101591,-0.123834,-0.046051,-0.272532,-0.047108,0.378919,0.333533,0.377715,0.021336,0.429474,0.381942,0.047531,-0.048409,-0.004227,-0.360607,-0.003023,-0.073747,0.050554,0.095941,0.051758,0.408138,-0.045386,-0.001204,-0.357584,0.37278,0.019126,0.793366,0.329732,0.796177,0.880895,-0.084718,-0.861769,-0.087529,-0.551163,-0.508115,-0.418659,0.423397,0.777051,0.00281,0.466445,-0.353654,0.420587,-0.043048,-0.192825,-0.288322,0.088907,0.071219,0.135994,-0.043546,0.17954,-0.244776,0.132453,0.114765,-0.149279,0.006541,0.328819,0.424316,0.047087,0.064776,-0.095497,0.281732,0.264044,-0.228647,-0.196568,-0.004293,-0.059954,0.277374,0.475295,-0.19792,-0.671862,-0.479588,-0.535249,-0.703941,-0.517712,0.506021,0.473942,0.281668,0.337329,0.032079,0.224353,0.168693,0.105624,-0.067246,-0.327518,0.191226,0.209681,0.197075,0.012606,-0.264322,-0.524593,-0.00585,-0.091451,-0.174722,0.104057,0.276927,0.537199,0.018455,-0.17287,-0.433142,0.085602,-0.353604,-0.104162,0.177777,0.514697,0.236805,-0.012039,0.248844,-0.092124,0.189816,0.526736,-0.341565,0.106341,0.590409,0.340967,0.059028,-0.277892,0.249442,0.531381,0.868301,0.478479,0.263367,-0.017306,-0.112064,-0.035597,0.013639,-0.049236,0.249727,-0.030946,-0.125703,0.464839,0.101736,-0.514075,-0.298963,-0.01829,0.076467,-0.215112,-0.495785,-0.590542,-0.363628,0.157058,0.343969,-0.107869,-0.174907,-0.373967,0.19906,0.531025,0.717936,0.266098,0.010339,0.344892,0.188721,-0.331965,-0.518876,-0.067038,0.520686,0.707597,0.255759
2,1627,162,1,0.230742,0.109638,0.151849,0.174208,0.3167,0.167539,0.149162,-0.057901,-0.015689,0.006669,0.063204,0.029089,0.085958,0.207063,0.164851,0.142493,-0.121105,-0.078893,-0.056535,-0.084724,0.115307,-0.148279,0.189411,-0.18024,-0.133869,-0.046371,0.249175,-0.01441,0.32328,0.049145,0.112164,-0.095516,-0.295547,-0.031961,-0.369651,0.200031,-0.063555,0.274135,-0.064091,0.238764,-0.070471,0.079238,0.074205,0.153177,-0.078972,0.085587,-0.223647,-0.073938,-0.217268,-0.101648,0.138296,-0.164559,0.144675,-0.005034,0.302855,-0.006379,0.14333,0.041947,-0.020254,-0.186908,0.089526,0.041057,0.186143,-0.145086,-0.206398,-0.373051,-0.096618,-0.144197,-0.19307,-0.00089,0.061311,0.227965,-0.048469,-0.062201,-0.228855,0.047579,0.445474,0.244684,0.135409,-0.172408,0.395291,0.217272,0.178019,0.027412,-0.081864,-0.38968,0.228202,-0.007582,-0.050183,0.150607,0.259882,0.567699,-0.20079,-0.310065,-0.617882,0.237601,-0.032741,0.742513,0.264128,0.589803,0.655322,-0.06552,-0.688063,0.087191,-0.391194,-0.417721,-0.295061,0.352201,0.622543,-0.152711,0.325675,-0.270342,0.504912,0.026526,-0.230052,-0.335625,-0.052106,-0.04744,0.164315,0.027766,0.136549,-0.363391,-0.079872,-0.075206,-0.257818,-0.127947,0.394367,0.49994,0.216421,0.211755,-0.105573,0.177946,0.182612,-0.050608,-0.114285,-0.045359,-0.0392,0.154603,0.455136,-0.300533,-0.569421,-0.500495,-0.494336,-0.505744,-0.474106,0.205211,0.268888,0.199962,0.193803,-0.063677,0.005249,0.011408,0.170154,-0.229036,-0.214884,-0.105905,0.029998,0.011408,0.01859,-0.240444,-0.226292,-0.117313,0.158746,-0.081343,-0.140156,0.259034,0.244883,0.135903,-0.39919,-0.385038,-0.276059,-0.343736,0.045637,0.262281,0.403802,0.245488,-0.098614,0.344102,0.144251,0.360895,0.502415,-0.245122,0.221308,0.589224,0.199851,-0.016793,-0.158313,0.389373,0.606017,0.747537,0.033485,0.108375,-0.17693,-0.548539,-0.444196,-0.346697,-0.097499,0.455072,0.169767,-0.201842,0.380182,0.141136,-0.477681,-0.552571,-0.267266,0.104343,0.07489,-0.210415,-0.582024,-0.408225,0.039432,0.116757,-0.210521,-0.258294,-0.257403,-0.000891,0.296835,0.37416,0.046882,-0.150822,0.113233,0.149931,-0.297725,-0.375051,-0.047773,0.447656,0.524982,0.197704
3,644,64,1,0.420979,0.274611,0.341923,0.368719,0.40309,0.365335,0.037755,-0.090724,-0.023412,0.003384,0.055645,-0.00347,-0.017889,0.128479,0.061168,0.034371,-0.146368,-0.079057,-0.05226,-0.215506,0.191324,-0.281359,-0.184205,-0.134594,0.043813,-0.178407,0.147511,-0.325172,-0.228018,-0.259319,-0.168681,0.080911,-0.325918,0.146765,0.049611,0.40683,-0.065853,0.031301,-0.400612,-0.03804,-0.247143,-0.195343,-0.055906,-0.058643,0.002738,0.020604,-0.1885,-0.136699,-0.341968,-0.128765,0.344706,-0.017866,0.191238,0.139437,0.362572,0.153469,0.205269,0.52999,0.343655,0.017635,0.062479,0.106597,0.222335,-0.115738,0.12132,-0.2047,-0.159855,0.307656,-0.010263,-0.423393,-0.237058,0.088962,0.044117,-0.186336,-0.512355,-0.467511,0.233472,0.303354,0.24462,-0.027131,0.04727,0.150996,-0.103725,0.152359,0.093625,-0.178126,0.082476,0.009322,-0.186201,-0.256084,-0.19735,0.074401,0.069883,0.011149,-0.260602,-0.018311,-0.099863,-0.033481,0.062836,0.033931,0.09951,-0.065579,-0.199373,-0.132991,-0.036674,-0.117821,-0.110488,0.052242,0.133793,0.067412,-0.028905,-0.081552,-0.015171,0.081146,1.050452,1.403772,1.615595,1.657305,1.547091,0.776463,0.770628,0.627309,0.839132,0.880842,0.273988,0.67838,0.49664,0.143319,-0.068504,-0.110214,0.353321,0.565144,0.606854,-0.046175,0.011416,0.013087,0.154279,0.306333,0.162501,0.143832,-0.151085,-0.149414,-0.008222,-0.208676,-0.074713,0.352508,0.294917,0.293246,0.152054,0.057591,0.059263,0.200454,0.475667,0.06473,0.150533,0.059415,0.07728,0.078055,-0.000775,-0.013324,0.072478,-0.01864,0.397613,0.08747,-0.398388,0.01255,-0.073253,0.017865,-0.410937,-0.325135,-0.416253,-0.190876,-0.017945,0.21658,0.497904,0.210219,-0.083382,0.293601,0.065437,0.299961,0.581286,-0.107494,0.226558,0.401096,0.228164,-0.00636,-0.287685,0.172931,0.407456,0.68878,1.078677,0.476329,0.537696,0.560644,0.310369,0.539698,-0.229329,-0.063369,-0.002002,0.020946,0.538979,0.053045,-0.768308,-0.16596,-0.227327,-0.250275,-0.602348,-0.540981,-0.518033,-0.071008,0.608054,0.509447,0.080958,-0.429248,-0.085395,-0.343854,0.693449,0.594842,0.166353,0.014387,0.225035,-0.358241,-1.037303,-0.938696,-0.510207,0.679062,0.580455,0.151966
